copies,size_bytes,ext,sha256,paths
3,38755,docx,da09a85fb4f0c29be625cac0dd33fd97b41ddaa867fd7fa5c284057649ceadb2,WRITING_ARCHITECT.zip!WRITING_ARCHITECT/Module writing.zip!Module writing/WRITING_SYSTEM.zip!WRITING_SYSTEM/ENGINE/ENGINE_16_STORY_MOMENTUM.docx | WRITING_ARCHITECT.zip!WRITING_ARCHITECT/Module writing/WRITING_SYSTEM.zip!WRITING_SYSTEM/ENGINE/ENGINE_16_STORY_MOMENTUM.docx | WRITING_ARCHITECT.zip!WRITING_ARCHITECT/Module writing/WRITING_SYSTEM/ENGINE/ENGINE_16_STORY_MOMENTUM.docx
3,38750,docx,ddf55d3df7a4edbdee1ac78b29968217bc6ed8b5f17d741edc9a8cb07659439b,WRITING_ARCHITECT.zip!WRITING_ARCHITECT/Module writing.zip!Module writing/WRITING_SYSTEM.zip!WRITING_SYSTEM/ENGINE/ENGINE_15_SCENE_PURPOSE.docx | WRITING_ARCHITECT.zip!WRITING_ARCHITECT/Module writing/WRITING_SYSTEM.zip!WRITING_SYSTEM/ENGINE/ENGINE_15_SCENE_PURPOSE.docx | WRITING_ARCHITECT.zip!WRITING_ARCHITECT/Module writing/WRITING_SYSTEM/ENGINE/ENGINE_15_SCENE_PURPOSE.docx
3,38721,docx,17ee2c4d3cb5d9174d3de94f17b15064fee1ecf93e1f4787ec9070e18326445b,WRITING_ARCHITECT.zip!WRITING_ARCHITECT/Module writing.zip!Module writing/WRITING_SYSTEM.zip!WRITING_SYSTEM/ENGINE/ENGINE_14_CONFLICT_ESCALATION.docx | WRITING_ARCHITECT.zip!WRITING_ARCHITECT/Module writing/WRITING_SYSTEM.zip!WRITING_SYSTEM/ENGINE/ENGINE_14_CONFLICT_ESCALATION.docx | WRITING_ARCHITECT.zip!WRITING_ARCHITECT/Module writing/WRITING_SYSTEM/ENGINE/ENGINE_14_CONFLICT_ESCALATION.docx
3,38705,docx,ec1b8bfb2b59ca9926a9044e44fdc4fa2091b2e7301b427c845c6e0659198abf,WRITING_ARCHITECT.zip!WRITING_ARCHITECT/Module writing.zip!Module writing/WRITING_SYSTEM.zip!WRITING_SYSTEM/ENGINE/ENGINE_13_PRESSURE_CURVE.docx | WRITING_ARCHITECT.zip!WRITING_ARCHITECT/Module writing/WRITING_SYSTEM.zip!WRITING_SYSTEM/ENGINE/ENGINE_13_PRESSURE_CURVE.docx | WRITING_ARCHITECT.zip!WRITING_ARCHITECT/Module writing/WRITING_SYSTEM/ENGINE/ENGINE_13_PRESSURE_CURVE.docx
3,38676,docx,93b54f072e10f95788f5d1cecd9c9e855308558f3faffccedc1fdba0d7d1c744,WRITING_ARCHITECT.zip!WRITING_ARCHITECT/Module writing.zip!Module writing/WRITING_SYSTEM.zip!WRITING_SYSTEM/ENGINE/02_OPERATION_MAP.docx | WRITING_ARCHITECT.zip!WRITING_ARCHITECT/Module writing/WRITING_SYSTEM.zip!WRITING_SYSTEM/ENGINE/02_OPERATION_MAP.docx | WRITING_ARCHITECT.zip!WRITING_ARCHITECT/Module writing/WRITING_SYSTEM/ENGINE/02_OPERATION_MAP.docx
3,38584,docx,48684f708b077dfde4139a4fcbdf37133b6f8708376f42b33b69789b8be3f2f8,WRITING_ARCHITECT.zip!WRITING_ARCHITECT/Module writing.zip!Module writing/WRITING_SYSTEM.zip!WRITING_SYSTEM/ENGINE/00_MASTER_KERNEL.docx | WRITING_ARCHITECT.zip!WRITING_ARCHITECT/Module writing/WRITING_SYSTEM.zip!WRITING_SYSTEM/ENGINE/00_MASTER_KERNEL.docx | WRITING_ARCHITECT.zip!WRITING_ARCHITECT/Module writing/WRITING_SYSTEM/ENGINE/00_MASTER_KERNEL.docx
3,38482,docx,1a1c4eb0102eedc3cbd8e0ed89e79b11a5551c99b5fa1bdcca7b2086941192ef,WRITING_ARCHITECT.zip!WRITING_ARCHITECT/Module writing.zip!Module writing/WRITING_SYSTEM.zip!WRITING_SYSTEM/ENGINE/ENGINE_09_SOCIETY_BUILD.docx | WRITING_ARCHITECT.zip!WRITING_ARCHITECT/Module writing/WRITING_SYSTEM.zip!WRITING_SYSTEM/ENGINE/ENGINE_09_SOCIETY_BUILD.docx | WRITING_ARCHITECT.zip!WRITING_ARCHITECT/Module writing/WRITING_SYSTEM/ENGINE/ENGINE_09_SOCIETY_BUILD.docx
3,38455,docx,27b5866f50c5b008df91ab5a547fd407898a59d16475e6c1e82a47fa267f75c1,WRITING_ARCHITECT.zip!WRITING_ARCHITECT/Module writing.zip!Module writing/WRITING_SYSTEM.zip!WRITING_SYSTEM/ENGINE/ENGINE_08_WORLD_BUILD.docx | WRITING_ARCHITECT.zip!WRITING_ARCHITECT/Module writing/WRITING_SYSTEM.zip!WRITING_SYSTEM/ENGINE/ENGINE_08_WORLD_BUILD.docx | WRITING_ARCHITECT.zip!WRITING_ARCHITECT/Module writing/WRITING_SYSTEM/ENGINE/ENGINE_08_WORLD_BUILD.docx
3,38359,docx,13b89cf8e460c8e56823769be3466af68ad3e4de31188a074c4135f95c9ad5b5,WRITING_ARCHITECT.zip!WRITING_ARCHITECT/Module writing.zip!Module writing/WRITING_SYSTEM.zip!WRITING_SYSTEM/ENGINE/ENGINE_10_RECOVERY_ENGINE.docx | WRITING_ARCHITECT.zip!WRITING_ARCHITECT/Module writing/WRITING_SYSTEM.zip!WRITING_SYSTEM/ENGINE/ENGINE_10_RECOVERY_ENGINE.docx | WRITING_ARCHITECT.zip!WRITING_ARCHITECT/Module writing/WRITING_SYSTEM/ENGINE/ENGINE_10_RECOVERY_ENGINE.docx
3,38236,docx,08f9f6e7cb7ec7c5d670aa43b3d0d7e66e460ddbe5245e045c9688d05dd651df,WRITING_ARCHITECT.zip!WRITING_ARCHITECT/Module writing.zip!Module writing/WRITING_SYSTEM.zip!WRITING_SYSTEM/ENGINE/ENGINE_04_WORLD_DRIFT_DETECTION.docx | WRITING_ARCHITECT.zip!WRITING_ARCHITECT/Module writing/WRITING_SYSTEM.zip!WRITING_SYSTEM/ENGINE/ENGINE_04_WORLD_DRIFT_DETECTION.docx | WRITING_ARCHITECT.zip!WRITING_ARCHITECT/Module writing/WRITING_SYSTEM/ENGINE/ENGINE_04_WORLD_DRIFT_DETECTION.docx
3,38234,docx,3634352d40ec375673c197101009ee3f0298802f00618d44c5a505d41b2d74d6,WRITING_ARCHITECT.zip!WRITING_ARCHITECT/Module writing.zip!Module writing/WRITING_SYSTEM.zip!WRITING_SYSTEM/ENGINE/ENGINE_01_DOCX_MERGE.docx | WRITING_ARCHITECT.zip!WRITING_ARCHITECT/Module writing/WRITING_SYSTEM.zip!WRITING_SYSTEM/ENGINE/ENGINE_01_DOCX_MERGE.docx | WRITING_ARCHITECT.zip!WRITING_ARCHITECT/Module writing/WRITING_SYSTEM/ENGINE/ENGINE_01_DOCX_MERGE.docx
3,38216,docx,0831c3d4a6d690d491b125916dfaa3e9e437bc4d75877c293aece3180783894e,WRITING_ARCHITECT.zip!WRITING_ARCHITECT/Module writing.zip!Module writing/WRITING_SYSTEM.zip!WRITING_SYSTEM/ENGINE/ENGINE_INDEX.docx | WRITING_ARCHITECT.zip!WRITING_ARCHITECT/Module writing/WRITING_SYSTEM.zip!WRITING_SYSTEM/ENGINE/ENGINE_INDEX.docx | WRITING_ARCHITECT.zip!WRITING_ARCHITECT/Module writing/WRITING_SYSTEM/ENGINE/ENGINE_INDEX.docx
3,38194,docx,8c6e7bfe26061740123f8aabe5655ae5bfb9b4af366f898d81671b379ef47cf1,WRITING_ARCHITECT.zip!WRITING_ARCHITECT/Module writing.zip!Module writing/WRITING_SYSTEM.zip!WRITING_SYSTEM/ENGINE/ENGINE_06_CHARACTER_SOCIETY_SYNC.docx | WRITING_ARCHITECT.zip!WRITING_ARCHITECT/Module writing/WRITING_SYSTEM.zip!WRITING_SYSTEM/ENGINE/ENGINE_06_CHARACTER_SOCIETY_SYNC.docx | WRITING_ARCHITECT.zip!WRITING_ARCHITECT/Module writing/WRITING_SYSTEM/ENGINE/ENGINE_06_CHARACTER_SOCIETY_SYNC.docx
3,38182,docx,b0e8a4f9e4137d3f7e89e07048552deecc7bfeb227610f129aa6e30a5472be09,WRITING_ARCHITECT.zip!WRITING_ARCHITECT/Module writing.zip!Module writing/WRITING_SYSTEM.zip!WRITING_SYSTEM/ENGINE/ENGINE_03_LORE_DELIVERY.docx | WRITING_ARCHITECT.zip!WRITING_ARCHITECT/Module writing/WRITING_SYSTEM.zip!WRITING_SYSTEM/ENGINE/ENGINE_03_LORE_DELIVERY.docx | WRITING_ARCHITECT.zip!WRITING_ARCHITECT/Module writing/WRITING_SYSTEM/ENGINE/ENGINE_03_LORE_DELIVERY.docx
3,38181,docx,167be81432e4be74caa66d2ee67b927a46db29d2ca5579815d42424c693ed96c,WRITING_ARCHITECT.zip!WRITING_ARCHITECT/Module writing.zip!Module writing/WRITING_SYSTEM.zip!WRITING_SYSTEM/ENGINE/ENGINE_05_RIPPLE_SIMULATION.docx | WRITING_ARCHITECT.zip!WRITING_ARCHITECT/Module writing/WRITING_SYSTEM.zip!WRITING_SYSTEM/ENGINE/ENGINE_05_RIPPLE_SIMULATION.docx | WRITING_ARCHITECT.zip!WRITING_ARCHITECT/Module writing/WRITING_SYSTEM/ENGINE/ENGINE_05_RIPPLE_SIMULATION.docx
3,38134,docx,ba67c9ef409227f4536898dd88bee23096d67a27292f533c76b32bb9768dfd3d,WRITING_ARCHITECT.zip!WRITING_ARCHITECT/Module writing.zip!Module writing/WRITING_SYSTEM.zip!WRITING_SYSTEM/ENGINE/ENGINE_02_AUTHORITY_ARBITRATION.docx | WRITING_ARCHITECT.zip!WRITING_ARCHITECT/Module writing/WRITING_SYSTEM.zip!WRITING_SYSTEM/ENGINE/ENGINE_02_AUTHORITY_ARBITRATION.docx | WRITING_ARCHITECT.zip!WRITING_ARCHITECT/Module writing/WRITING_SYSTEM/ENGINE/ENGINE_02_AUTHORITY_ARBITRATION.docx
3,38124,docx,900a5db3708d77e7e6d0caf2963695f475719f270e278539de65786c2b5c3380,WRITING_ARCHITECT.zip!WRITING_ARCHITECT/Module writing.zip!Module writing/WRITING_SYSTEM.zip!WRITING_SYSTEM/ENGINE/02_OPERATION_MAP__1.docx | WRITING_ARCHITECT.zip!WRITING_ARCHITECT/Module writing/WRITING_SYSTEM.zip!WRITING_SYSTEM/ENGINE/02_OPERATION_MAP__1.docx | WRITING_ARCHITECT.zip!WRITING_ARCHITECT/Module writing/WRITING_SYSTEM/ENGINE/02_OPERATION_MAP__1.docx
3,38092,docx,59436d6cc8e184d690fe175872872a572972fa6f205618d9ded8be4e913afaec,WRITING_ARCHITECT.zip!WRITING_ARCHITECT/Module writing.zip!Module writing/WRITING_SYSTEM.zip!WRITING_SYSTEM/RUNTIME/runtime_operation_routes.docx | WRITING_ARCHITECT.zip!WRITING_ARCHITECT/Module writing/WRITING_SYSTEM.zip!WRITING_SYSTEM/RUNTIME/runtime_operation_routes.docx | WRITING_ARCHITECT.zip!WRITING_ARCHITECT/Module writing/WRITING_SYSTEM/RUNTIME/runtime_operation_routes.docx
3,38041,docx,47778e06de18a566fd8a030ad06bee447ffb26368ca98a10b7dc8d7ce703dfce,WRITING_ARCHITECT.zip!WRITING_ARCHITECT/Module writing.zip!Module writing/WRITING_SYSTEM.zip!WRITING_SYSTEM/ENGINE/STRESS_TEST_LIBRARY.docx | WRITING_ARCHITECT.zip!WRITING_ARCHITECT/Module writing/WRITING_SYSTEM.zip!WRITING_SYSTEM/ENGINE/STRESS_TEST_LIBRARY.docx | WRITING_ARCHITECT.zip!WRITING_ARCHITECT/Module writing/WRITING_SYSTEM/ENGINE/STRESS_TEST_LIBRARY.docx
3,38021,docx,5e5daea1944ac2d4c5c1cf778acc09acc67cec293cc65412b28661d309b3eb11,WRITING_ARCHITECT.zip!WRITING_ARCHITECT/Module writing.zip!Module writing/WRITING_SYSTEM.zip!WRITING_SYSTEM/ENGINE/03_EVAL_AND_TRACE_RULES.docx | WRITING_ARCHITECT.zip!WRITING_ARCHITECT/Module writing/WRITING_SYSTEM.zip!WRITING_SYSTEM/ENGINE/03_EVAL_AND_TRACE_RULES.docx | WRITING_ARCHITECT.zip!WRITING_ARCHITECT/Module writing/WRITING_SYSTEM/ENGINE/03_EVAL_AND_TRACE_RULES.docx
3,37989,docx,7bd7b1f662ad00fc591f900023e65eac43c55a382d666bd946d38a165fa03510,WRITING_ARCHITECT.zip!WRITING_ARCHITECT/Module writing.zip!Module writing/WRITING_SYSTEM.zip!WRITING_SYSTEM/RUNTIME/runtime_engine_registry.docx | WRITING_ARCHITECT.zip!WRITING_ARCHITECT/Module writing/WRITING_SYSTEM.zip!WRITING_SYSTEM/RUNTIME/runtime_engine_registry.docx | WRITING_ARCHITECT.zip!WRITING_ARCHITECT/Module writing/WRITING_SYSTEM/RUNTIME/runtime_engine_registry.docx
3,37971,docx,0ab0a50ce8a3ebbfc4a5cea3174dc696ac4b3c5e118a668c60081459248972c2,WRITING_ARCHITECT.zip!WRITING_ARCHITECT/Module writing.zip!Module writing/WRITING_SYSTEM.zip!WRITING_SYSTEM/RUNTIME/runtime_failure_state_map.docx | WRITING_ARCHITECT.zip!WRITING_ARCHITECT/Module writing/WRITING_SYSTEM.zip!WRITING_SYSTEM/RUNTIME/runtime_failure_state_map.docx | WRITING_ARCHITECT.zip!WRITING_ARCHITECT/Module writing/WRITING_SYSTEM/RUNTIME/runtime_failure_state_map.docx
3,37941,docx,67565cb70d7d0b03b46de1e9f2ba5dc396558d6ef9c00f9dcbfea14f3427e67d,WRITING_ARCHITECT.zip!WRITING_ARCHITECT/Module writing.zip!Module writing/WRITING_SYSTEM.zip!WRITING_SYSTEM/RUNTIME/runtime_baseline_state_registry.docx | WRITING_ARCHITECT.zip!WRITING_ARCHITECT/Module writing/WRITING_SYSTEM.zip!WRITING_SYSTEM/RUNTIME/runtime_baseline_state_registry.docx | WRITING_ARCHITECT.zip!WRITING_ARCHITECT/Module writing/WRITING_SYSTEM/RUNTIME/runtime_baseline_state_registry.docx
3,37895,docx,4d48ba323dea8921e46c8a030a5293476942e2e926e19c01de69b714683e1fb4,WRITING_ARCHITECT.zip!WRITING_ARCHITECT/Module writing.zip!Module writing/WRITING_SYSTEM.zip!WRITING_SYSTEM/RUNTIME/runtime_trace_policy.docx | WRITING_ARCHITECT.zip!WRITING_ARCHITECT/Module writing/WRITING_SYSTEM.zip!WRITING_SYSTEM/RUNTIME/runtime_trace_policy.docx | WRITING_ARCHITECT.zip!WRITING_ARCHITECT/Module writing/WRITING_SYSTEM/RUNTIME/runtime_trace_policy.docx
3,37880,docx,4c5937fc1490ce52a5552678ea82ab68757f72a2952f6aa196e617745b05925a,WRITING_ARCHITECT.zip!WRITING_ARCHITECT/Module writing.zip!Module writing/WRITING_SYSTEM.zip!WRITING_SYSTEM/RUNTIME/runtime_approval_matrix.docx | WRITING_ARCHITECT.zip!WRITING_ARCHITECT/Module writing/WRITING_SYSTEM.zip!WRITING_SYSTEM/RUNTIME/runtime_approval_matrix.docx | WRITING_ARCHITECT.zip!WRITING_ARCHITECT/Module writing/WRITING_SYSTEM/RUNTIME/runtime_approval_matrix.docx
3,37878,docx,2767baccaf7ae03fafbc8bad2a300bd24d4d4eb4b5f841d4a4721cc6618ade58,WRITING_ARCHITECT.zip!WRITING_ARCHITECT/Module writing.zip!Module writing/WRITING_SYSTEM.zip!WRITING_SYSTEM/ENGINE/ENGINE_INDEX__1.docx | WRITING_ARCHITECT.zip!WRITING_ARCHITECT/Module writing/WRITING_SYSTEM.zip!WRITING_SYSTEM/ENGINE/ENGINE_INDEX__1.docx | WRITING_ARCHITECT.zip!WRITING_ARCHITECT/Module writing/WRITING_SYSTEM/ENGINE/ENGINE_INDEX__1.docx
3,37840,docx,bd44c618a21e2fa14bce67780473c9b9ca6e3672baf60ba0740652532dabe040,WRITING_ARCHITECT.zip!WRITING_ARCHITECT/Module writing.zip!Module writing/WRITING_SYSTEM.zip!WRITING_SYSTEM/STORY_SYSTEM/STORY_BIBLE_MASTER__1.docx | WRITING_ARCHITECT.zip!WRITING_ARCHITECT/Module writing/WRITING_SYSTEM.zip!WRITING_SYSTEM/STORY_SYSTEM/STORY_BIBLE_MASTER__1.docx | WRITING_ARCHITECT.zip!WRITING_ARCHITECT/Module writing/WRITING_SYSTEM/STORY_SYSTEM/STORY_BIBLE_MASTER__1.docx
3,37795,docx,47d932f5d1cba1b3712d2d9e1297af8d1da0486a526a7bc2bb97b653baf20919,WRITING_ARCHITECT.zip!WRITING_ARCHITECT/Module writing.zip!Module writing/WRITING_SYSTEM.zip!WRITING_SYSTEM/RUNTIME/runtime_promotion_control_matrix.docx | WRITING_ARCHITECT.zip!WRITING_ARCHITECT/Module writing/WRITING_SYSTEM.zip!WRITING_SYSTEM/RUNTIME/runtime_promotion_control_matrix.docx | WRITING_ARCHITECT.zip!WRITING_ARCHITECT/Module writing/WRITING_SYSTEM/RUNTIME/runtime_promotion_control_matrix.docx
3,37789,docx,1d659c77da0f64f0783c77721cdf8e3ca76781449bd6708dfa25cf71e3bc9d53,WRITING_ARCHITECT.zip!WRITING_ARCHITECT/Module writing.zip!Module writing/WRITING_SYSTEM.zip!WRITING_SYSTEM/RUNTIME/runtime_trace_event_map.docx | WRITING_ARCHITECT.zip!WRITING_ARCHITECT/Module writing/WRITING_SYSTEM.zip!WRITING_SYSTEM/RUNTIME/runtime_trace_event_map.docx | WRITING_ARCHITECT.zip!WRITING_ARCHITECT/Module writing/WRITING_SYSTEM/RUNTIME/runtime_trace_event_map.docx
3,37786,docx,ef1695eaff668b5d1d1bc9f54f66a059536c234e1460c234251ba58ed87c6336,WRITING_ARCHITECT.zip!WRITING_ARCHITECT/Module writing.zip!Module writing/WRITING_SYSTEM.zip!WRITING_SYSTEM/RUNTIME/runtime_handoff_rules.docx | WRITING_ARCHITECT.zip!WRITING_ARCHITECT/Module writing/WRITING_SYSTEM.zip!WRITING_SYSTEM/RUNTIME/runtime_handoff_rules.docx | WRITING_ARCHITECT.zip!WRITING_ARCHITECT/Module writing/WRITING_SYSTEM/RUNTIME/runtime_handoff_rules.docx
3,37759,docx,1c4b7bd0235561baeb3f313eeaf22cda4da1bc939ef9a625205e432b1e9ca5dd,WRITING_ARCHITECT.zip!WRITING_ARCHITECT/Module writing.zip!Module writing/WRITING_SYSTEM.zip!WRITING_SYSTEM/RELIABILITY_LAYER/RUNTIME_RELIABILITY_INTEGRATION_RULES.docx | WRITING_ARCHITECT.zip!WRITING_ARCHITECT/Module writing/WRITING_SYSTEM.zip!WRITING_SYSTEM/RELIABILITY_LAYER/RUNTIME_RELIABILITY_INTEGRATION_RULES.docx | WRITING_ARCHITECT.zip!WRITING_ARCHITECT/Module writing/WRITING_SYSTEM/RELIABILITY_LAYER/RUNTIME_RELIABILITY_INTEGRATION_RULES.docx
3,37744,docx,f3c5c503d653c95095fabd8443d8c5021516ff29a8d63ebf112c0ddd1d323031,WRITING_ARCHITECT.zip!WRITING_ARCHITECT/Module writing.zip!Module writing/WRITING_SYSTEM.zip!WRITING_SYSTEM/RUNTIME/runtime_live_test_scenarios.docx | WRITING_ARCHITECT.zip!WRITING_ARCHITECT/Module writing/WRITING_SYSTEM.zip!WRITING_SYSTEM/RUNTIME/runtime_live_test_scenarios.docx | WRITING_ARCHITECT.zip!WRITING_ARCHITECT/Module writing/WRITING_SYSTEM/RUNTIME/runtime_live_test_scenarios.docx
3,37740,docx,02cb4b9d2beb37f3571f5df7a1286447e8f4599f8ec46d55ddab752edf5adb91,WRITING_ARCHITECT.zip!WRITING_ARCHITECT/Module writing.zip!Module writing/WRITING_SYSTEM.zip!WRITING_SYSTEM/RUNTIME/runtime_approval_enforcement_policy.docx | WRITING_ARCHITECT.zip!WRITING_ARCHITECT/Module writing/WRITING_SYSTEM.zip!WRITING_SYSTEM/RUNTIME/runtime_approval_enforcement_policy.docx | WRITING_ARCHITECT.zip!WRITING_ARCHITECT/Module writing/WRITING_SYSTEM/RUNTIME/runtime_approval_enforcement_policy.docx
